ticker,scoring_engine_score,scoring_engine_rating,quant_engine_score,quant_engine_rating,diff_se_minus_qe,abs_diff
AOSL,29.9,🚫 风险较高,42.02,⚠️ 谨慎评估,-12.12,12.12
MCHP,27.3,🚫 风险较高,38.51,⚠️ 谨慎评估,-11.21,11.21
NOW,53.8,👀 综合中性,63.22,👀 综合中性,-9.42,9.42
AFRM,29.2,🚫 风险较高,38.61,🧾 数据待复核,-9.41,9.41
MRVL,48.4,⚠️ 谨慎评估,39.21,🧾 数据待复核,9.19,9.19
AMZN,44.5,⚠️ 谨慎评估,53.34,👀 综合中性,-8.84,8.84
PLTR,53.9,👀 综合中性,62.35,👀 综合中性,-8.45,8.45
MSFT,53.4,👀 综合中性,61.84,👀 综合中性,-8.44,8.44
KLAC,63.0,👀 综合中性,54.6,👀 综合中性,8.4,8.4
ISRG,40.4,⚠️ 谨慎评估,48.7,⚠️ 谨慎评估,-8.3,8.3
GEV,32.6,🚫 风险较高,40.81,⚠️ 谨慎评估,-8.21,8.21
LUNR,26.9,🚫 风险较高,34.38,🧾 数据待复核,-7.48,7.48
AAPL,36.7,⚠️ 谨慎评估,44.08,⚠️ 谨慎评估,-7.38,7.38
APP,62.4,👀 综合中性,69.78,✅ 综合良好,-7.38,7.38
BBAI,16.8,🚫 风险较高,23.92,🧾 数据待复核,-7.12,7.12
TEM,29.5,🚫 风险较高,36.58,🧾 数据待复核,-7.08,7.08
GOOGL,50.1,👀 综合中性,56.34,👀 综合中性,-6.24,6.24
AMAT,58.8,👀 综合中性,53.01,👀 综合中性,5.79,5.79
ACLS,34.3,🚫 风险较高,40.0,⚠️ 谨慎评估,-5.7,5.7
HON,37.5,⚠️ 谨慎评估,42.8,⚠️ 谨慎评估,-5.3,5.3
MBLY,20.0,🚫 风险较高,25.26,🚫 风险较高,-5.26,5.26
LRCX,58.9,👀 综合中性,53.76,👀 综合中性,5.14,5.14
ROK,35.3,⚠️ 谨慎评估,40.15,⚠️ 谨慎评估,-4.85,4.85
SNOW,42.1,⚠️ 谨慎评估,46.53,⚠️ 谨慎评估,-4.43,4.43
ARM,35.5,⚠️ 谨慎评估,39.29,⚠️ 谨慎评估,-3.79,3.79
ORCL,46.5,⚠️ 谨慎评估,43.18,🧾 数据待复核,3.32,3.32
GE,41.4,⚠️ 谨慎评估,44.66,⚠️ 谨慎评估,-3.26,3.26
SMCI,48.9,⚠️ 谨慎评估,46.52,⚠️ 谨慎评估,2.38,2.38
LITE,47.3,⚠️ 谨慎评估,44.97,⚠️ 谨慎评估,2.33,2.33
FN,43.8,⚠️ 谨慎评估,46.04,⚠️ 谨慎评估,-2.24,2.24
NVDA,76.9,✅ 综合良好,74.83,✅ 综合良好,2.07,2.07
META,63.8,👀 综合中性,62.01,👀 综合中性,1.79,1.79
ANET,48.1,⚠️ 谨慎评估,49.73,⚠️ 谨慎评估,-1.63,1.63
DELL,36.9,⚠️ 谨慎评估,38.37,🧾 数据待复核,-1.47,1.47
COHR,47.9,⚠️ 谨慎评估,49.12,⚠️ 谨慎评估,-1.22,1.22
QCOM,42.9,⚠️ 谨慎评估,44.1,⚠️ 谨慎评估,-1.2,1.2
GRMN,51.5,👀 综合中性,50.49,👀 综合中性,1.01,1.01
AMD,42.7,⚠️ 谨慎评估,43.68,⚠️ 谨慎评估,-0.98,0.98
VRT,48.1,⚠️ 谨慎评估,47.74,⚠️ 谨慎评估,0.36,0.36
CLS,44.2,⚠️ 谨慎评估,44.36,⚠️ 谨慎评估,-0.16,0.16
MU,60.0,👀 综合中性,60.15,👀 综合中性,-0.15,0.15
ONTO,44.4,⚠️ 谨慎评估,44.26,⚠️ 谨慎评估,0.14,0.14
IBM,32.2,🚫 风险较高,32.2,🧾 数据待复核,0.0,0.0
SOUN,40.9,⚠️ 谨慎评估,40.9,🧾 数据待复核,0.0,0.0
